Manufacturer,RAM,CAPACITY,WARRANTY,BATTERY,COST,BUY
DELL,4GB,500GB,0,4hrs,LOW,NO
TOSHIBA,8GB,1TB,1,12hrs,HIGH,YES
SAMSUNG,16GB,1TB,1,4hrs,LOW,YES
LENEVO,8GB,2TB,0,12hrs,LOW,NO
TOSHIBA,16GB,500GB,2,12hrs,LOW,YES
SONY,16GB,1TB,2,4hrs,HIGH,YES
SAMSUNG,4GB,1TB,0,12hrs,LOW,NO
LENEVO,8GB,500GB,1,8hrs,LOW,NO
APPLE,4GB,2TB,2,12hrs,LOW,YES
DELL,16GB,2TB,0,8hrs,LOW,YES
SONY,8GB,500GB,1,18hrs,HIGH,NO
TOSHIBA,4GB,4TB,2,18hrs,VERY HIGH,NO
HP,16GB,2TB,2,4hrs,LOW,NO
APPLE,4GB,1TB,0,18hrs,HIGH,NO
ASUS,16GB,500GB,3,8hrs,HIGH,YES
SAMSUNG,8GB,2TB,0,18hrs,HIGH,NO
DELL,4GB,4TB,1,8hrs,LOW,YES
HP,16GB,500GB,2,8hrs,LOW,YES
SAMSUNG,4GB,2TB,0,18hrs,HIGH,NO
DELL,8GB,4TB,1,18hrs,HIGH,YES
HP,16GB,1TB,3,4hrs,HIGH,NO
ASUS,4GB,500GB,0,12hrs,HIGH,NO
SONY,16GB,4TB,1,8hrs,LOW,YES
HP,8GB,2TB,3,12hrs,LOW,YES
SAMSUNG,4GB,4TB,2,8hrs,LOW,YES
TOSHIBA,16GB,500GB,3,18hrs,HIGH,YES
APPLE,4GB,1TB,0,4hrs,HIGH,NO
ACER,4GB,4TB,1,12hrs,LOW,YES
ASUS,4GB,8TB,3,12hrs,LOW,YES
DELL,8GB,500GB,3,4hrs,LOW,NO
HP,16GB,4TB,3,18hrs,VERY HIGH,YES
ACER,8GB,4TB,0,8hrs,HIGH,NO
HP,16GB,8TB,3,8hrs,VERY HIGH,YES
HP,8GB,1TB,1,18hrs,LOW,YES
APPLE,8GB,500GB,1,8hrs,LOW,NO
TOSHIBA,8GB,8TB,2,18hrs,VERY HIGH,YES
HP,16GB,8TB,3,12hrs,VERY HIGH,YES
ACER,8GB,1TB,0,4hrs,LOW,NO
APPLE,4GB,8TB,3,12hrs,HIGH,YES
SONY,16GB,8TB,2,4hrs,HIGH,YES
LENEVO,16GB,1TB,3,18hrs,LOW,YES
ACER,8GB,8TB,3,12hrs,HIGH,YES
HP,4GB,2TB,1,8hrs,LOW,YES
ASUS,8GB,8TB,3,18hrs,VERY HIGH,NO
HP,8GB,4TB,2,4hrs,LOW,NO
ACER,16GB,8TB,2,12hrs,HIGH,YES
SONY,4GB,2TB,0,4hrs,LOW,NO
LENEVO,16GB,4TB,3,8hrs,VERY HIGH,YES
ASUS,16GB,2TB,1,12hrs,HIGH,YES
HP,4GB,8TB,2,4hrs,LOW,NO
